Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
4.2961,1.0000,0.0000,0.0000,False,False,0.0000
4.3108,1.0000,0.0000,0.0000,False,False,0.0000
4.3271,1.0000,0.0000,0.0000,False,False,0.0000
4.3426,1.0000,0.0000,0.0000,False,False,0.0000
4.3583,1.0000,0.0000,0.0000,False,False,0.0000
4.3815,1.0000,0.0000,0.0000,False,False,0.0000
4.3971,1.0000,0.0000,0.0000,False,False,0.0000
4.4121,1.0000,0.0000,0.0000,False,False,0.0000
4.4277,1.0000,0.0000,0.0000,False,False,0.0000
4.4435,1.0000,0.0000,0.0000,False,False,0.0000
4.4586,1.0000,0.0000,0.0000,False,False,0.0000
4.4815,1.0000,0.0000,0.0000,False,False,0.0000
4.4987,1.0000,0.0000,0.0000,False,False,0.0000
4.5133,1.0000,0.0000,0.0000,False,False,0.0000
4.5289,1.0000,0.0000,0.0000,False,False,0.0000
4.5441,1.0000,0.0000,0.0000,False,False,0.0000
4.5600,1.0000,0.0000,0.0000,False,False,0.0000
4.5747,1.0000,0.0000,0.0000,False,False,0.0000
4.5984,1.0000,0.0000,0.0000,False,False,0.0000
4.6136,1.0000,0.0000,0.0000,False,False,0.0000
4.6293,1.0000,0.0000,0.0000,False,False,0.0000
4.6450,1.0000,0.0000,0.0000,False,False,0.0000
4.6609,1.0000,0.0000,0.0000,False,False,0.0000
4.6770,1.0000,0.0000,0.0000,False,False,0.0000
4.6916,1.0000,0.0000,0.0000,False,False,0.0000
4.7158,1.0000,0.0000,0.0000,False,False,0.0000
4.7315,1.0000,0.0000,0.0000,False,False,0.0000
4.7470,1.0000,0.0000,0.0000,False,False,0.0000
4.7629,1.0000,0.0000,0.0000,False,False,0.0000
4.7796,1.0000,0.0000,0.0000,False,False,0.0000
4.7952,1.0000,0.0000,0.0000,False,False,0.0000
4.8112,1.0000,0.0000,0.0000,False,False,0.0000
4.8271,1.0000,0.0000,0.0000,False,False,0.0000
4.8440,1.0000,0.0000,0.0000,False,False,0.0000
4.8599,1.0000,0.0000,0.0000,False,False,0.0000
4.8757,1.0000,0.0000,0.0000,False,False,0.0000
4.8917,1.0000,0.0000,0.0000,False,False,0.0000
4.9163,1.0000,0.0000,0.0000,False,False,0.0000
4.9322,1.0000,0.0000,0.0000,False,False,0.0000
4.9496,1.0000,0.0000,0.0000,False,False,0.0000
4.9658,1.0000,0.0000,0.0000,False,False,0.0000
4.9827,1.0000,0.0000,0.0000,False,False,0.0000
4.9987,1.0000,0.0000,0.0000,False,False,0.0000
5.0145,1.0000,0.0000,0.0000,False,False,0.0000
5.0303,1.0000,0.0000,0.0000,False,False,0.0000
5.0472,1.0000,0.0000,0.0000,False,False,0.0000
5.0633,1.0000,0.0000,0.0000,False,False,0.0000
5.0801,1.0000,0.0000,0.0000,False,False,0.0000
5.0963,1.0000,0.0000,0.0000,False,False,0.0000
5.1126,1.0000,0.0000,0.0000,False,False,0.0000
5.1291,1.0000,0.0000,0.0000,False,False,0.0000
5.1450,1.0000,0.0000,0.0000,False,False,0.0000
5.1615,1.0000,0.0000,0.0000,False,False,0.0000
5.1788,1.0000,0.0000,0.0000,False,False,0.0000
5.1943,1.0000,0.0000,0.0000,False,False,0.0000
5.2103,1.0000,0.0000,0.0000,False,False,0.0000
5.2284,1.0000,0.0000,0.0000,False,False,0.0000
5.2452,1.0000,0.0000,0.0000,False,False,0.0000
5.2614,1.0000,0.0000,0.0000,False,False,0.0000
5.2788,1.0000,0.0000,0.0000,False,False,0.0000
5.2944,1.0000,0.0000,0.0000,False,False,0.0000
5.3103,1.0000,0.0000,0.0000,False,False,0.0000
5.3271,1.0000,0.0000,0.0000,False,False,0.0000
5.3536,1.0000,0.0000,0.0000,False,False,0.0000
5.3699,1.0000,0.0000,0.0000,False,False,0.0000
5.3882,1.0000,0.0000,0.0000,False,False,0.0000
5.4041,1.0000,0.0000,0.0000,False,False,0.0000
5.4204,1.0000,0.0000,0.0000,False,False,0.0000
5.4363,1.0000,0.0000,0.0000,False,False,0.0000
5.4534,1.0000,0.0000,0.0000,False,False,0.0000
5.4693,1.0000,0.0000,0.0000,False,False,0.0000
5.4855,1.0000,0.0000,0.0000,False,False,0.0000
5.5031,1.0000,0.0000,0.0000,False,False,0.0000
5.5197,1.0000,0.0000,0.0000,False,False,0.0000
5.5349,1.0000,0.0000,0.0000,False,False,0.0000
5.5515,1.0000,0.0000,0.0000,False,False,0.0000
5.5690,1.0000,0.0000,0.0000,False,False,0.0000
5.5849,1.0000,0.0000,0.0000,False,False,0.0000
5.6014,1.0000,0.0000,0.0000,False,False,0.0000
5.6190,1.0000,0.0000,0.0000,False,False,0.0000
5.6340,1.0000,0.0000,0.0000,False,False,0.0000
5.6519,1.0000,0.0000,0.0000,False,False,0.0000
5.6681,1.0000,0.0000,0.0000,False,False,0.0000
5.6866,1.0000,0.0000,0.0000,False,False,0.0000
5.7028,1.0000,0.0000,0.0000,False,False,0.0000
5.7194,1.0000,0.0000,0.0000,False,False,0.0000
5.7360,1.0000,0.0000,0.0000,False,False,0.0000
5.7528,1.0000,0.0000,0.0000,False,False,0.0000
5.7705,1.0000,0.0000,0.0000,False,False,0.0000
5.7883,1.0000,0.0000,0.0000,False,False,0.0000
5.8045,1.0000,0.0000,0.0000,False,False,0.0000
5.8223,1.0000,0.0000,0.0000,False,False,0.0000
5.8394,1.0000,0.0000,0.0000,False,False,0.0000
5.8549,1.0000,0.0000,0.0000,False,False,0.0000
5.8721,1.0000,0.0000,0.0000,False,False,0.0000
5.8891,1.0000,0.0000,0.0000,False,False,0.0000
5.9067,1.0000,0.0000,0.0000,False,False,0.0000
5.9241,1.0000,0.0000,0.0000,False,False,0.0000
5.9416,0.0000,0.0000,0.0000,False,False,0.0000
5.9682,0.0000,0.0000,0.0000,False,False,0.0000
5.9851,0.0000,0.0000,0.0000,False,False,0.0000
6.0030,0.0000,0.0000,0.0000,False,False,0.0000
6.0220,0.0000,0.0000,0.0000,False,False,0.0000
6.0385,0.0000,0.0000,0.0000,False,False,0.0000
6.0546,0.0000,0.0000,0.0000,False,False,0.0000
6.0709,0.0000,0.0000,0.0000,False,False,0.0000
6.0892,0.0000,0.0000,0.0000,False,False,0.0000
6.1055,0.0000,0.0000,0.0000,False,False,0.0000
6.1223,0.0000,0.0000,0.0000,False,False,0.0000
6.1388,0.0000,0.0000,0.0000,False,False,0.0000
6.1556,0.0000,0.0000,0.0000,False,False,0.0000
6.1721,0.0000,0.0000,0.0000,False,False,0.0000
6.1901,0.0000,0.0000,0.0000,False,False,0.0000
6.2064,0.0000,0.0000,0.0000,False,False,0.0000
6.2227,0.0000,0.0000,0.0000,False,False,0.0000
6.2393,0.0000,0.0000,0.0000,False,False,0.0000
6.2560,0.0000,0.0000,0.0000,False,False,0.0000
6.2723,0.0000,0.0000,0.0000,False,False,0.0000
6.2908,0.0000,0.0000,0.0000,False,False,0.0000
6.3076,0.0000,0.0000,0.0000,False,False,0.0000
6.3255,0.0000,0.0000,0.0000,False,False,0.0000
